time,data
0.0,0.0
0.01,0.006946438813006767
0.02,0.07597423881853956
0.03,0.2623481349581214
0.04,0.5494786052645102
0.05,0.9430304754346478
0.06,1.4421395908597576
0.07,1.7857792079584625
0.08,2.1475030842278056
0.09,3.0292988814654316
0.1,3.8105190242004556
0.11,3.827766440090272
0.12,4.8078009896037734
0.13,4.839243600794051
0.14,5.727358480831751
0.15,5.713487924689099
0.16,6.747209923368477
0.17,5.992869867445504
0.18,6.717479799313748
0.19,6.904275573949656
0.2,7.9916184403350865
0.21,8.060139984975482
0.22,7.11197424249156
0.23,6.234912926317513
0.24,5.594033191678904
0.25,0.323648542976668
0.26,2.481967944821026
0.27,1.0695644341407593
0.28,2.8225668264664106
0.29,-2.146324688281135
0.3,0.24841114862891683
0.31,-2.656700485509235
0.32,-3.393230771807643
0.33,-7.83706728989045
0.34,-5.555121743179023
0.35,-6.355725455593014
0.36,-7.692046510215742
0.37,-11.555727730482388
0.38,-15.39077881953316
0.39,-21.075151212281725
0.4,-27.69099417503571
0.41,-25.02633353045299
0.42,-16.125061679509212
0.43,-21.367723292171476
0.44,-23.43468427365913
0.45,-19.263253147794277
0.46,-34.683849212640595
0.47,-39.98267328916997
0.48,-44.982786983130076
0.49,-44.65445120733272
0.5,-51.6189854688036
0.51,-60.54437236157198
0.52,-70.69835239329359
0.53,-67.13164144800163
0.54,-89.58329328033753
0.55,-89.17743092354384
0.56,-111.4851142990144
0.57,-118.26825499132835
0.58,-117.74726715121136
0.59,-117.89159718373314
0.6,-135.95807572226565
0.61,-117.9222285411522
0.62,-143.83170393561542
0.63,-132.6860115282837
0.64,-137.3925739937159
0.65,-143.85733886108042
0.66,-157.64412275122558
0.67,-152.54081699074902
0.68,-155.96282774194725
0.69,-158.40963800844614
0.7,-166.83992199304234
0.71,-155.58145550042065
0.72,-182.6321607850597
0.73,-179.77123027987503
0.74,-190.28305353458353
0.75,-197.49517386273385
0.76,-196.2512901508646
0.77,-206.24706684330172
0.78,-225.59682885289104
0.79,-207.03750082630032
0.8,-207.52748102505439
0.81,-222.16441834461557
0.82,-217.02027531460092
0.83,-230.3277224799831
0.84,-242.8578135572743
0.85,-245.1980661098362
0.86,-255.81764735743252
0.87,-264.7020457910096
0.88,-253.25314170365837
0.89,-242.5586181115681
0.9,-245.99485667984192
0.91,-239.1802281360352
0.92,-245.89126200572258
0.93,-249.06742042972235
0.94,-234.65361861982615
0.95,-250.85396041261725
0.96,-265.8332499124246
0.97,-267.1571509452973
0.98,-258.35391577259827
0.99,-277.03144925058825
1.0,-268.84246965321046
1.01,-279.05426849916614
1.02,-276.92719798810214
1.03,-295.757990972823
1.04,-283.74287561779335
1.05,-305.55831895110066
1.06,-302.7370005734801
1.07,-317.1440596853627
1.08,-310.05698876559677
1.09,-308.46254432531674
1.1,-302.7529466001901
1.11,-304.2437597074469
1.12,-296.20286364529846
1.13,-313.9681610870925
1.14,-310.75037375563807
1.15,-325.4573376756841
1.16,-333.27834280693236
1.17,-336.93171884579715
1.18,-309.7845339814628
1.19,-324.5287799415844
1.2,-311.88431795088735
1.21,-320.40248206565076
1.22,-313.8233545070976
1.23,-320.68382176547584
1.24,-336.8867869659007
1.25,-331.5231540257686
1.26,-317.39366983118015
1.27,-317.98743381008677
1.28,-338.9241971686544
1.29,-335.9489326016159
1.3,-312.5700895864099
1.31,-326.04919540162723
1.32,-338.1917645181434
1.33,-347.7021183960628
1.34,-345.39058145374617
1.35,-345.9487690172331
1.36,-320.2432515540333
1.37,-336.13336581344345
1.38,-345.62397691027934
1.39,-312.86611888086185
1.4,-317.72391620515407
1.41,-341.56286869283053
1.42,-321.67345695395045
1.43,-335.2275335482636
1.44,-329.6445076809895
1.45,-313.3409736177271
1.46,-329.5956304897998
1.47,-325.1579570293003
1.48,-333.35245107073536
1.49,-322.0928021150356
1.5,-325.01769091811053
1.51,-322.86202916565185
1.52,-339.64623073594356
1.53,-322.37690059498397
1.54,-332.69570985675006
1.55,-325.91707615520124
1.56,-331.1659530852309
1.57,-325.7866431512117
1.58,-336.4913111434617
1.59,-320.1084083569573
1.6,-328.78816287458216
1.61,-334.6052989402837
1.62,-335.8483358361963
1.63,-331.04750912172443
1.64,-344.26000132604406
1.65,-326.6853560324454
1.66,-333.0097183971474
1.67,-330.3945971191384
1.68,-335.90722158236844
1.69,-336.72778805978584
1.7,-340.8791039520119
