time,amplitude
1551435974.015,1657
1551435974.065,1718
1551435974.115,1707
1551435974.1650002,1699
1551435974.2150002,1678
1551435974.265,1697
1551435974.315,1687
1551435974.365,1668
1551435974.4150002,1733
1551435974.4650002,1678
1551435974.515,1681
1551435974.565,1729
1551435974.615,1647
1551435974.6650002,1706
1551435974.7150002,1730
1551435974.765,1690
1551435974.815,1694
1551435974.865,1650
1551435974.9150002,1701
1551435974.9650002,1698
1551435975.015,1686
1551435975.065,1739
1551435975.115,1747
1551435975.1650002,1762
1551435975.2150002,1697
1551435975.265,1665
1551435975.315,1671
1551435975.365,1660
1551435975.4150002,1675
1551435975.4650002,1696
1551435975.515,1750
1551435975.565,1704
1551435975.615,1733
1551435975.6650002,1791
1551435975.7150002,1673
1551435975.765,1680
1551435975.815,1676
1551435975.865,1623
1551435975.9150002,1716
1551435975.9650002,1736
1551435976.015,1739
1551435976.065,1747
1551435976.115,1663
1551435976.1650002,1653
1551435976.2150002,1680
1551435976.265,1692
1551435976.315,1704
1551435976.365,1710
1551435976.4150002,1734
1551435976.4650002,1699
1551435976.515,1703
1551435976.565,1710
1551435976.615,1681
1551435976.6650002,1728
1551435976.7150002,1673
1551435976.765,1697
1551435976.815,1777
1551435976.865,1659
1551435976.9150002,1675
1551435976.9650002,1722
1551435977.015,1679
1551435977.065,1752
1551435977.115,1720
1551435977.1650002,1660
1551435977.2150002,1746
1551435977.265,1704
1551435977.315,1629
1551435977.365,1694
1551435977.4150002,1708
1551435977.4650002,1674
1551435977.515,1687
1551435977.565,1716
1551435977.615,1721
1551435977.6650002,1708
1551435977.7150002,1712
1551435977.765,1700
1551435977.815,1674
1551435977.865,1705
1551435977.9150002,1718
1551435977.9650002,1667
1551435978.015,1688
1551435978.065,1738
1551435978.115,1731
1551435978.1650002,1706
1551435978.2150002,1674
1551435978.265,1685
1551435978.315,1675
1551435978.365,1675
1551435978.4150002,1698
1551435978.4650002,1628
1551435978.515,1668
1551435978.565,1695
1551435978.615,1658
1551435978.6650002,1735
1551435978.7150002,1665
1551435978.765,1623
1551435978.815,1684
1551435978.865,1671
1551435978.9150002,1717
1551435978.9650002,1712
1551435979.015,1672
1551435979.065,1685
1551435979.115,1672
1551435979.1650002,1646
1551435979.2150002,1671
1551435979.265,1661
1551435979.315,1611
1551435979.365,1683
1551435979.4150002,1725
1551435979.4650002,1680
1551435979.515,1648
1551435979.565,1684
1551435979.615,1701
1551435979.6650002,1605
1551435979.7150002,1644
1551435979.765,1706
1551435979.815,1674
1551435979.865,1673
1551435979.9150002,1701
1551435979.9650002,1721
1551435980.015,1618
1551435980.065,1611
1551435980.115,1673
1551435980.1650002,1601
1551435980.2150002,1648
1551435980.265,1726
1551435980.315,1624
1551435980.365,1624
1551435980.4150002,1684
1551435980.4650002,1603
1551435980.515,1657
1551435980.565,1703
1551435980.615,1587
1551435980.6650002,1640
1551435980.7150002,1688
1551435980.765,1617
1551435980.815,1656
1551435980.865,1656
1551435980.9150002,1588
1551435980.9650002,1647
1551435981.015,1680
1551435981.065,1641
1551435981.115,1655
1551435981.1650002,1608
1551435981.2150002,1584
1551435981.265,1687
1551435981.315,1705
1551435981.365,1621
1551435981.4150002,1612
1551435981.4650002,1625
1551435981.515,1607
1551435981.565,1654
1551435981.615,1666
1551435981.6650002,1589
1551435981.7150002,1567
1551435981.765,1587
1551435981.815,1615
1551435981.865,1641
1551435981.9150002,1633
1551435981.9650002,1631
1551435982.015,1610
1551435982.065,1587
1551435982.115,1607
1551435982.1650002,1661
1551435982.2150002,1642
1551435982.265,1572
1551435982.315,1609
1551435982.365,1606
1551435982.4150002,1598
1551435982.4650002,1626
1551435982.515,1601
1551435982.565,1640
1551435982.615,1589
1551435982.6650002,1535
1551435982.7150002,1568
1551435982.765,1540
1551435982.815,1635
1551435982.865,1663
1551435982.9150002,1573
1551435982.9650002,1576
1551435983.015,1527
1551435983.065,1574
1551435983.115,1637
1551435983.1650002,1571
1551435983.2150002,1582
1551435983.265,1601
1551435983.315,1573
1551435983.365,1524
1551435983.4150002,1555
1551435983.4650002,1601
1551435983.515,1537
1551435983.565,1558
1551435983.615,1586
1551435983.6650002,1562
1551435983.7150002,1588
1551435983.765,1530
1551435983.815,1515
1551435983.865,1583
1551435983.9150002,1572
1551435983.9650002,1533
1551435984.015,1523
1551435984.065,1583
1551435984.115,1579
1551435984.1650002,1548
1551435984.2150002,1566
1551435984.265,1541
1551435984.315,1552
1551435984.365,1543
1551435984.4150002,1551
1551435984.4650002,1564
1551435984.515,1559
1551435984.565,1572
1551435984.615,1521
1551435984.6650002,1513
1551435984.7150002,1551
1551435984.765,1573
1551435984.815,1587
1551435984.865,1577
1551435984.9150002,1540
1551435984.9650002,1520
1551435985.015,1563
1551435985.065,1572
1551435985.115,1520
1551435985.1650002,1526
1551435985.2150002,1546
1551435985.265,1553
1551435985.315,1597
